file,dft,c,bv,ang
1.vasp,-1160.615582,40,3.06367,4
2.vasp,-1160.602593,40,3.07607,2
3.vasp,-1160.667756,36,2.98141,2
4.vasp,-1160.630861,36,3.01427,2
5.vasp,-1160.630861,36,3.01427,2
6.vasp,-1160.667756,36,2.98141,2
7.vasp,-1160.602593,40,3.07607,2
8.vasp,-1160.630861,36,3.01427,2
9.vasp,-1160.630861,36,3.01427,2
10.vasp,-1160.615582,40,3.06367,4
11.vasp,-1160.630861,36,3.01427,2
12.vasp,-1160.630861,36,3.01427,2
13.vasp,-1160.630861,36,3.01427,2
14.vasp,-1160.630861,36,3.01426,2
15.vasp,-1160.611553,32,2.99025,4
16.vasp,-1160.630861,36,3.01427,2
17.vasp,-1160.630861,36,3.01427,2
18.vasp,-1160.602593,40,3.07607,2
19.vasp,-1160.667756,36,2.98141,2
20.vasp,-1160.630861,36,3.01427,2
21.vasp,-1160.58726,40,3.40415,0
22.vasp,-1160.638431,36,3.01709,0
23.vasp,-1160.638431,36,3.01709,0
24.vasp,-1160.706825,32,2.89749,0
25.vasp,-1160.630861,36,3.01427,2
26.vasp,-1160.630861,36,3.01427,2
27.vasp,-1160.638431,36,3.01709,0
28.vasp,-1160.706825,32,2.89744,0
29.vasp,-1160.58726,40,3.40415,0
30.vasp,-1160.638431,36,3.01709,0
31.vasp,-1160.630861,36,3.01427,2
32.vasp,-1160.602593,40,3.07607,2
33.vasp,-1160.667756,36,2.98141,2
34.vasp,-1160.630861,36,3.01426,2
35.vasp,-1160.630861,36,3.01427,2
36.vasp,-1160.630861,36,3.01427,2
37.vasp,-1160.630861,36,3.01427,2
38.vasp,-1160.667756,36,2.98141,2
39.vasp,-1160.602593,40,3.07607,2
40.vasp,-1160.630861,36,3.01427,2
41.vasp,-1160.638431,36,3.01709,0
42.vasp,-1160.58726,40,3.40415,0
43.vasp,-1160.706825,32,2.89751,0
44.vasp,-1160.638431,36,3.01709,0
45.vasp,-1160.630861,36,3.01427,2
46.vasp,-1160.630861,36,3.01427,2
47.vasp,-1160.706825,32,2.8975,0
48.vasp,-1160.638431,36,3.01709,0
49.vasp,-1160.638431,36,3.01709,0
50.vasp,-1160.58726,40,3.40416,0
51.vasp,-1160.630861,36,3.01427,2
52.vasp,-1160.667756,36,2.98141,2
53.vasp,-1160.602593,40,3.07607,2
54.vasp,-1160.630861,36,3.01427,2
55.vasp,-1160.630861,36,3.01427,2
56.vasp,-1160.611553,32,2.99025,4
57.vasp,-1160.630861,36,3.01427,2
58.vasp,-1160.630861,36,3.01426,2
59.vasp,-1160.630861,36,3.01427,2
60.vasp,-1160.630861,36,3.01427,2
61.vasp,-1160.615582,40,3.06367,4
62.vasp,-1160.630861,36,3.01427,2
63.vasp,-1160.630861,36,3.01427,2
64.vasp,-1160.602593,40,3.07607,2
65.vasp,-1160.667756,36,2.98141,2
66.vasp,-1160.630861,36,3.01427,2
67.vasp,-1160.630861,36,3.01427,2
68.vasp,-1160.667756,36,2.98141,2
69.vasp,-1160.602593,40,3.07607,2
70.vasp,-1160.615582,40,3.06367,4